Date,Last Price
30/12/2022,10466.48
29/12/2022,10478.09
28/12/2022,10213.29
27/12/2022,10353.23
23/12/2022,10497.86
22/12/2022,10476.12
21/12/2022,10709.37
20/12/2022,10547.11
19/12/2022,10546.03
16/12/2022,10705.41
15/12/2022,10810.53
14/12/2022,11170.89
13/12/2022,11256.81
12/12/2022,11143.74
09/12/2022,11004.62
08/12/2022,11082
07/12/2022,10958.55
06/12/2022,11014.89
05/12/2022,11239.94
02/12/2022,11461.5
01/12/2022,11482.45
30/11/2022,11468
29/11/2022,10983.78
28/11/2022,11049.5
25/11/2022,11226.36
23/11/2022,11285.32
22/11/2022,11174.41
21/11/2022,11024.51
18/11/2022,11146.06
17/11/2022,11144.96
16/11/2022,11183.66
15/11/2022,11358.41
14/11/2022,11196.22
11/11/2022,11323.33
10/11/2022,11114.15
09/11/2022,10353.17
08/11/2022,10616.2
07/11/2022,10564.52
04/11/2022,10475.25
03/11/2022,10342.94
02/11/2022,10524.8
01/11/2022,10890.85
31/10/2022,10988.15
28/10/2022,11102.45
27/10/2022,10792.67
26/10/2022,10970.99
25/10/2022,11199.12
24/10/2022,10952.61
21/10/2022,10859.72
20/10/2022,10614.84
19/10/2022,10680.51
18/10/2022,10772.4
17/10/2022,10675.8
14/10/2022,10321.39
13/10/2022,10649.15
12/10/2022,10417.1
11/10/2022,10426.19
10/10/2022,10542.1
07/10/2022,10652.4
06/10/2022,11073.31
05/10/2022,11148.64
04/10/2022,11176.41
03/10/2022,10815.43
30/09/2022,10575.62
29/09/2022,10737.51
28/09/2022,11051.64
27/09/2022,10829.5
26/09/2022,10802.92
23/09/2022,10867.93
22/09/2022,11066.8
21/09/2022,11220.19
20/09/2022,11425.05
19/09/2022,11535.02
16/09/2022,11448.4
15/09/2022,11552.36
14/09/2022,11719.68
13/09/2022,11633.57
12/09/2022,12266.41
09/09/2022,12112.31
08/09/2022,11862.13
07/09/2022,11791.9
06/09/2022,11544.91
02/09/2022,11630.86
01/09/2022,11785.13
31/08/2022,11816.2
30/08/2022,11883.14
29/08/2022,12017.67
26/08/2022,12141.71
25/08/2022,12639.27
24/08/2022,12431.53
23/08/2022,12381.3
22/08/2022,12381.57
19/08/2022,12705.21
18/08/2022,12965.34
17/08/2022,12938.12
16/08/2022,13102.55
15/08/2022,13128.05
12/08/2022,13047.19
11/08/2022,12779.91
10/08/2022,12854.8
09/08/2022,12493.93
08/08/2022,12644.46
05/08/2022,12657.55
04/08/2022,12720.58
03/08/2022,12668.16
02/08/2022,12348.76
01/08/2022,12368.98
29/07/2022,12390.69
28/07/2022,12162.59
27/07/2022,12032.42
26/07/2022,11562.57
25/07/2022,11782.67
22/07/2022,11834.11
21/07/2022,12059.61
20/07/2022,11897.65
19/07/2022,11713.15
18/07/2022,11360.05
15/07/2022,11452.42
14/07/2022,11251.19
13/07/2022,11247.58
12/07/2022,11264.73
11/07/2022,11372.6
08/07/2022,11635.31
07/07/2022,11621.35
06/07/2022,11361.85
05/07/2022,11322.24
01/07/2022,11127.84
30/06/2022,11028.74
29/06/2022,11177.89
28/06/2022,11181.54
27/06/2022,11524.55
24/06/2022,11607.62
23/06/2022,11232.19
22/06/2022,11053.08
21/06/2022,11069.3
17/06/2022,10798.35
16/06/2022,10646.1
15/06/2022,11099.15
14/06/2022,10828.35
13/06/2022,10809.23
10/06/2022,11340.02
09/06/2022,11754.23
08/06/2022,12086.27
07/06/2022,12175.23
06/06/2022,12061.37
03/06/2022,12012.73
02/06/2022,12316.9
01/06/2022,11994.46
31/05/2022,12081.39
27/05/2022,12131.13
26/05/2022,11740.65
25/05/2022,11434.74
24/05/2022,11264.45
23/05/2022,11535.27
20/05/2022,11354.62
19/05/2022,11388.5
18/05/2022,11418.15
17/05/2022,11984.52
16/05/2022,11662.79
13/05/2022,11805
12/05/2022,11370.96
11/05/2022,11364.24
10/05/2022,11737.67
09/05/2022,11623.25
06/05/2022,12144.66
05/05/2022,12317.69
04/05/2022,12964.86
03/05/2022,12563.76
02/05/2022,12536.02
29/04/2022,12334.64
28/04/2022,12871.53
27/04/2022,12488.93
26/04/2022,12490.74
25/04/2022,13004.85
22/04/2022,12839.29
21/04/2022,13174.65
20/04/2022,13453.07
19/04/2022,13619.66
18/04/2022,13332.36
14/04/2022,13351.08
13/04/2022,13643.59
12/04/2022,13371.57
11/04/2022,13411.96
08/04/2022,13711
07/04/2022,13897.3
06/04/2022,13888.82
05/04/2022,14204.17
04/04/2022,14532.55
01/04/2022,14261.5
31/03/2022,14220.52
30/03/2022,14442.27
29/03/2022,14619.64
28/03/2022,14354.9
25/03/2022,14169.3
24/03/2022,14191.84
23/03/2022,13922.6
22/03/2022,14108.82
21/03/2022,13838.46
18/03/2022,13893.84
17/03/2022,13614.78
16/03/2022,13436.55
15/03/2022,12948.62
14/03/2022,12581.22
11/03/2022,12843.81
10/03/2022,13129.96
09/03/2022,13255.55
08/03/2022,12795.55
07/03/2022,12830.96
04/03/2022,13313.44
03/03/2022,13537.94
02/03/2022,13752.02
01/03/2022,13532.46
28/02/2022,13751.4
25/02/2022,13694.62
24/02/2022,13473.58
23/02/2022,13037.49
22/02/2022,13381.52
18/02/2022,13548.07
17/02/2022,13716.72
16/02/2022,14124.09
15/02/2022,14139.76
14/02/2022,13790.92
11/02/2022,13791.15
10/02/2022,14185.64
09/02/2022,14490.37
08/02/2022,14194.46
07/02/2022,14015.67
04/02/2022,14098.01
03/02/2022,13878.82
02/02/2022,14417.55
01/02/2022,14346
31/01/2022,14239.88
28/01/2022,13770.57
27/01/2022,13352.78
26/01/2022,13542.12
25/01/2022,13539.29
24/01/2022,13855.13
21/01/2022,13768.92
20/01/2022,14154.02
19/01/2022,14340.25
18/01/2022,14506.9
14/01/2022,14893.75
13/01/2022,14806.81
12/01/2022,15188.39
11/01/2022,15153.45
10/01/2022,14942.83
07/01/2022,14935.9
06/01/2022,15080.87
05/01/2022,15100.17
04/01/2022,15622.72
03/01/2022,15832.8
31/12/2021,15644.97
30/12/2021,15741.56
29/12/2021,15766.22
28/12/2021,15781.72
27/12/2021,15871.26
23/12/2021,15653.37
22/12/2021,15521.89
21/12/2021,15341.09
20/12/2021,14980.94
17/12/2021,15169.68
16/12/2021,15180.43
15/12/2021,15565.58
14/12/2021,15237.64
13/12/2021,15413.28
10/12/2021,15630.6
09/12/2021,15517.37
08/12/2021,15786.99
07/12/2021,15686.92
06/12/2021,15225.15
03/12/2021,15085.47
02/12/2021,15381.32
01/12/2021,15254.05
30/11/2021,15537.69
29/11/2021,15782.83
26/11/2021,15491.66
24/11/2021,15845.23
23/11/2021,15775.14
22/11/2021,15854.76
19/11/2021,16057.44
18/11/2021,15993.71
17/11/2021,15921.57
16/11/2021,15973.86
15/11/2021,15853.85
12/11/2021,15860.96
11/11/2021,15704.28
10/11/2021,15622.71
09/11/2021,15886.54
08/11/2021,15982.36
05/11/2021,15971.59
04/11/2021,15940.31
03/11/2021,15811.58
02/11/2021,15649.6
01/11/2021,15595.92
29/10/2021,15498.39
28/10/2021,15448.12
27/10/2021,15235.84
26/10/2021,15235.71
25/10/2021,15226.71
22/10/2021,15090.2
21/10/2021,15215.7
20/10/2021,15121.68
19/10/2021,15129.09
18/10/2021,15021.81
