0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25,25.0,30.25,36.0,42.25,49.0,56.25,64.0,72.25,81.0,90.25,100.0
0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25,25.0,30.25,36.0,42.25,49.0,56.25,64.0,72.25,81.0,90.25
1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25,25.0,30.25,36.0,42.25,49.0,56.25,64.0,72.25,81.0
2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25,25.0,30.25,36.0,42.25,49.0,56.25,64.0,72.25
4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25,25.0,30.25,36.0,42.25,49.0,56.25,64.0
6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25,25.0,30.25,36.0,42.25,49.0,56.25
9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25,25.0,30.25,36.0,42.25,49.0
12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25,25.0,30.25,36.0,42.25
16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25,25.0,30.25,36.0
20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25,25.0,30.25
25.0,20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25,25.0
30.25,25.0,20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0,20.25
36.0,30.25,25.0,20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25,16.0
42.25,36.0,30.25,25.0,20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0,12.25
49.0,42.25,36.0,30.25,25.0,20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25,9.0
56.25,49.0,42.25,36.0,30.25,25.0,20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0,6.25
64.0,56.25,49.0,42.25,36.0,30.25,25.0,20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25,4.0
72.25,64.0,56.25,49.0,42.25,36.0,30.25,25.0,20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0,2.25
81.0,72.25,64.0,56.25,49.0,42.25,36.0,30.25,25.0,20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25,1.0
90.25,81.0,72.25,64.0,56.25,49.0,42.25,36.0,30.25,25.0,20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0,0.25
100.0,90.25,81.0,72.25,64.0,56.25,49.0,42.25,36.0,30.25,25.0,20.25,16.0,12.25,9.0,6.25,4.0,2.25,1.0,0.25,0.0
