Y,,,C,,,Lambda,,,,
1,0.2,,0.8,0.2,,0,0.3,,,
0.5,0.2,,0.2,0.8,,0.3,0,,,
1.2,2.1,,,,,,,,,
9,8,,,,,,,,,
5.5,10,,,,,,,,,
,,,,,,,,,,
L,,,V,,Min,,,,,
0.68,1.76,,0.68,1.76,0.68,,,,,
0.905,2.285,,1.585,3.325,1.585,,,,,
0.565,0.385,,2.15,2.33,2.15,,,,,
53.7,45.3,,55.85,47.63,47.63,,,,,
48.125,40.625,,96.115,88.255,88.255,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,v^tilde,iTilde ,,,S,T-5,0.8,0.2,,
T-5,0.68,0,,,,T-4,0.8,0.2,,
T-4,1.885,0,,,,T-3,0.2,0.8,,
T-3,2.33,1,,,,T-2,0.2,0.8,,
T-2,47.63,1,,,,T-1,0.2,0.8,,
T-1,88.255,1,,,,,,,,
