Observation,Absolute Change,Previous Absolute Change,Centered Mean (w=6),Centered Std (w=6),Left Mean (w=6),Left Std (w=6),Right Mean (w=6),Right Std (w=6),Centered Mean (w=14),Centered Std (w=14),Left Mean (w=14),Left Std (w=14),Right Mean (w=14),Right Std (w=14)
2205.32,,,,,,,,,,,,,,
2218.16,12.84,,,,,,,,,,,,,
2228.94,10.78,12.84,,,,,,,,,,,,
2226.89,2.05,10.78,,,,,,,,,,,,
2249.42,22.53,2.05,,,,,,,,,,,,
2246.49,2.93,22.53,2229.203333,16.76503584,2217.473333,11.8249623,2240.933333,12.24980136,,,,,,
2231.66,14.83,2.93,2233.593333,12.04426115,2224.663333,5.72456403,2242.523333,9.521304182,,,,,,
2222.42,9.24,14.83,2234.303333,11.03587,2235.083333,12.45815529,2233.523333,12.14270288,,,,,,
2222.74,0.32,9.24,2233.27,11.89529991,2240.933333,12.24980136,2225.606667,5.244781533,,,,,,
2252.48,29.74,0.32,2237.535,13.61373681,2242.523333,9.521304182,2232.546667,17.26351451,,,,,,
2260.63,8.15,29.74,2239.403333,16.11118204,2233.523333,12.14270288,2245.283333,19.943847,,,,,,
2262.59,1.96,8.15,2242.086667,18.66574367,2225.606667,5.244781533,2258.566667,5.361532741,,,,,,
2265,2.41,1.96,2247.643333,19.86502521,2232.546667,17.26351451,2262.74,2.18885815,,,,,,
2260.95,4.05,2.41,2254.065,15.91552795,2245.283333,19.943847,2262.846667,2.03716306,2239.549286,19.48169494,2229.554286,15.33245562,2249.544286,18.81873256
2256.73,4.22,4.05,2259.73,4.467961504,2258.566667,5.361532741,2260.893333,4.135291203,2243.221429,17.25091251,2231.997143,11.77801443,2254.445714,14.56369786
2246.46,10.27,4.22,2258.726667,6.59247652,2262.74,2.18885815,2254.713333,7.452532008,2245.242857,15.67439972,2232.651429,10.98150935,2257.834286,6.464649661
2252.01,5.55,10.27,2257.29,7.020122506,2262.846667,2.03716306,2251.733333,5.140586867,2246.890714,15.02798285,2236.014286,13.06265141,2257.767143,6.531622346
2260.76,8.75,5.55,2256.985,6.779429917,2260.893333,4.135291203,2253.076667,7.209426699,2249.31,14.26752849,2240.834286,15.18689771,2257.785714,6.541296653
